No,Sanatci / Ses Sahibi,Parca / Ses Adi,Aciklama / Hashtagler,Goruntulenme,Goruntulenme (Sayi),Olusturan
263,Ayşe demir,orijinal ses,#keşfet #keşfetteyizzz #defineciler #define #doga,4893,4893,O bir defineci
264,🌼🌼🌼SEVILAY🌼🌼🌼,orijinal ses,#defineciler,6824,6824,O bir defineci
265,Beşir Kaya,Sallana Sallana,#keşfetteyizzz #keşfet #defineciler #define,3252,3252,O bir defineci
266,Ali Haydar Canbulat,orijinal ses,#keşfet #defineciler #define işaretleri #keşfetteyizzz #tarihi eserler,14.3K,14300,O bir defineci
267,Kibariye,Allah Vergisi,#defineciler #tarihi #keşfetteyizzz #define #keşfet,2589,2589,O bir defineci
268,O bir defineci,orijinal ses,#keşfet #keşfetteyizzz #define #defineciler #tarihi,2478,2478,O bir defineci
269,drmuzikk,orijinal ses,#defineciler #keşfet #keşfetteyizzz #define,15.9K,15900,O bir defineci
270,Samir🇦🇿🇺🇸,оригинальный звук,#keşfet #define #defineciler #keşfetteyizzz,2717,2717,O bir defineci
271,alik,Originalton,#dogal #defineciler #define #keşfet #tilsmagning,2501,2501,O bir defineci
272,munzurjiyan,orijinal ses,#define #defineciler #dogal #kefşet #tilsmagning,21.7K,21700,O bir defineci
273,İbrahim kaya,orijinal ses,#defineciler #dogal #kefşet #dogandcat,30.6K,30600,O bir defineci
274,Neriman Kayseri,Kahretmişim Hayata,#kefşet #defineciler,7608,7608,O bir defineci
275,gülcan kaya,Bende Şu Dünyaya Geldim Geleli,#kefşet #doğavideolari #definevideoları,17.8K,17800,O bir defineci
276,KURDÎ MUSÎC 💚☀️❤️,الصوت الأصلي,#definevideoları #doğavideolari,5239,5239,O bir defineci
277,pembee mezarlik✅,orijinal ses,,5279,5279,O bir defineci
278,🅱🆈.🅷🅰🅻🅸̇🅻💎,orijinal ses,#definevideoları #turkiye #doğavideolari #mardin #bursa #diyarbakır,17.7K,17700,O bir defineci
279,Ömer asaf özdemir,orijinal ses,#definevideoları #turkiye,2904,2904,O bir defineci
280,İbrahim Tatlıses,Yorgunum,#turkiye #iznik #defilecik #definevideoları #mardin #doğavideolari#bursa   #diyarbakır,3601,3601,O bir defineci
281,Karadeniz Akustik ♾️,orijinal ses,#mardin #bursa #definevideoları #DoğaVideolari #diyarbakır #iznik #turkiye,3177,3177,O bir defineci
282,,,,5637,5637,O bir defineci
283,Nilüfer Akbal,Dilo Yeman,,2331,2331,O bir defineci
284,Arabesk Diyarı,orijinal ses,,2538,2538,O bir defineci
285,O bir defineci,orijinal ses,,3912,3912,O bir defineci
286,Kazım Koyuncu,Gelevera Deresi (feat. Şevval Sam),,2745,2745,O bir defineci
287,TRT Arşiv,orijinal ses,##Turkiye,2865,2865,O bir defineci
288,Anoushirvan Rohani,Tarane Saal,,3154,3154,O bir defineci
289,Cavit Karabey,Vay Be,,2687,2687,O bir defineci
290,Cemile Sönmez,Meyrik (Uzun Hava),,5734,5734,O bir defineci
291,Devran Çağlar,Bir Kadın Yüzünden,Mardine selam olsun . . . #fyp #diyarbakır #mardin #defilecik #iznik #bursa #Turkiye #keşfet,5715,5715,O bir defineci
292,Ezgin Güzelgül,Gelmiş Bahar Geçmiş Yazlar,,7010,7010,O bir defineci
293,Bergen,Onu da Yak Tanrım,,3349,3349,O bir defineci
